episod,total_reward
320,969.1395339078898
321,969.2166791880089
322,937.2259859623805
323,938.398510719677
324,938.5057303986767
325,970.2900005884203
326,938.3710300432081
327,937.8880779246955
328,969.9746244441811
329,969.1878066353909
330,937.8484066737119
331,969.2802268335449
332,968.633350214748
333,969.3565383609964
334,969.1024254439963
335,938.4944444329459
336,968.9690418887573
337,969.0526837253601
338,968.2109114332317
339,968.5504652716176
340,938.1781078581264
341,937.927191858523
342,1040.1037584783073
343,1244.0612040578367
344,1212.2562021462886
345,1210.370696489644
346,1210.7252353236252
347,969.1219241462807
348,937.7569161307962
349,969.5628272977378
350,936.6701729670468
351,969.2989236791287
352,937.938654031085
353,969.5556954402625
354,968.5726978137759
355,937.7525825250701
356,938.4880262468197
357,937.5682138242822
358,968.6329068757135
359,968.500984009379
360,968.9327212605951
361,938.1887802500182
362,968.9005528881034
363,938.4396495628916
364,938.5710280772485
365,937.2780954244904
366,968.5558501850242
367,938.0639032351239
368,938.0497485318222
369,937.7413777016919
370,938.3515452879612
371,969.0467680622809
372,968.7735763858441
373,969.6644325146884
374,969.627322913573
375,938.4553205542115
376,1072.4839158912896
377,1212.2239910133526
378,938.447788134505
379,576.5370215375998
380,1281.588597271451
381,938.0854620125651
382,968.5489253417435
383,937.3836417118854
384,968.804511850651
385,969.168663891395
386,969.7315228475136
387,968.8611258177452
388,938.0425382270749
389,938.0023404091576
390,968.7596996602238
391,937.8839032015369
392,937.7440145322861
393,938.158461149266
394,937.6174663313105
395,969.213090514944
396,938.0573673720488
397,938.3235439127939
398,937.8705840894098
399,937.0028280192712
400,937.8617739554558
401,938.2040868281437
402,969.6468981396113
403,969.1141286412684
404,937.9679923646994
405,968.8265439776688
406,968.7180727361759
407,938.0925746154609
408,968.6551802084551
409,937.9731193102323
410,968.8920446376252
411,937.7164061518761
412,968.7757349176252
413,937.9958644238599
414,968.8591339906001
415,969.3931502654749
416,969.056226929366
417,968.7966238095145
418,938.2475330484116
419,968.5958133967713
420,969.0215832882707
421,938.3007004540467
422,969.1047485461926
423,938.5835881212782
424,937.9897376058003
425,938.4214183997526
426,937.6689635242274
427,968.8060592985408
428,937.980844718518
429,938.398962383164
430,969.6588652974685
431,938.4357302274362
432,968.9628611527633
433,938.1252381521458
434,938.3073761447736
435,969.4187731090007
436,969.5137244584805
437,937.0395085381866
438,937.9723553889635
439,968.8547994138537
440,937.6849475841613
441,937.6418389953639
442,968.4468339896307
443,938.3074851534893
444,938.357992516488
445,938.3819266815058
446,937.0153046877501
447,969.0246183939149
448,969.3720897959921
449,969.2138697021365
450,969.1915996076453
451,968.731315122215
452,938.5499526342624
453,969.3728368809511
454,968.6521698101961
455,937.6945530134881
456,969.3888494948808
457,937.9706143151174
458,971.4730768827184
459,969.0199546334708
460,968.6153696024245
461,969.0580630368493
462,968.7661390460527
463,968.6275020421028
464,938.658867851709
465,970.2521913558984
466,968.6124287463954
467,968.437689765217
468,968.6277670552051
469,938.6475300703933
470,968.8023214008256
471,938.5872250135235
472,938.3632612905541
473,803.6728435322285
474,938.0941112109734
475,937.6517656924347
476,968.888113424088
477,937.0775367441396
478,938.0578587133746
479,968.7389692328354
480,938.5764721249043
481,938.0022170952908
482,968.7491617560477
483,938.6489242500627
484,938.3168854426875
485,968.4698201283076
486,968.6256929934432
487,938.2094508418269
488,968.6781349707552
489,937.9299476823193
490,968.6872715856291
491,969.3645379436696
492,937.9211434529739
493,938.4161483523031
494,937.5569669594829
495,968.5307127583797
496,938.4000978522795
497,937.7441654516148
498,937.9609937066341
499,938.0246710799267
500,937.6270089458278
